bank_txn_id,gateway_order_id,match_type,confidence,fee,fee_pct,explanation
TXN-00001,ORD-00092,EXACT,100.0,0.0,,
TXN-00002,ORD-00301,EXACT,100.0,0.0,,
TXN-00003,ORD-00394,EXACT,100.0,0.0,,
TXN-00004,ORD-00189,EXACT,100.0,0.0,,
TXN-00005,ORD-00038,EXACT,100.0,0.0,,
TXN-00006,ORD-00299,EXACT,100.0,0.0,,
TXN-00007,ORD-00262,EXACT,100.0,0.0,,
TXN-00008,ORD-00412,EXACT,100.0,0.0,,
TXN-00009,ORD-00298,EXACT,100.0,0.0,,
TXN-00010,ORD-00115,EXACT,100.0,0.0,,
TXN-00012,ORD-00274,EXACT,100.0,0.0,,
TXN-00015,ORD-00155,EXACT,100.0,0.0,,
TXN-00016,ORD-00439,EXACT,100.0,0.0,,
TXN-00018,ORD-00355,EXACT,100.0,0.0,,
TXN-00023,ORD-00196,EXACT,100.0,0.0,,
TXN-00025,ORD-00437,EXACT,100.0,0.0,,
TXN-00026,ORD-00382,EXACT,100.0,0.0,,
TXN-00027,ORD-00076,EXACT,100.0,0.0,,
TXN-00028,ORD-00304,EXACT,100.0,0.0,,
TXN-00029,ORD-00003,EXACT,100.0,0.0,,
TXN-00030,ORD-00309,EXACT,100.0,0.0,,
TXN-00031,ORD-00113,EXACT,100.0,0.0,,
TXN-00033,ORD-00430,EXACT,100.0,0.0,,
TXN-00035,ORD-00051,EXACT,100.0,0.0,,
TXN-00036,ORD-00193,EXACT,100.0,0.0,,
TXN-00039,ORD-00212,EXACT,100.0,0.0,,
TXN-00040,ORD-00079,EXACT,100.0,0.0,,
TXN-00041,ORD-00082,EXACT,100.0,0.0,,
TXN-00042,ORD-00484,EXACT,100.0,0.0,,
TXN-00043,ORD-00124,EXACT,100.0,0.0,,
TXN-00044,ORD-00444,EXACT,100.0,0.0,,
TXN-00045,ORD-00236,EXACT,100.0,0.0,,
TXN-00046,ORD-00213,EXACT,100.0,0.0,,
TXN-00047,ORD-00486,EXACT,100.0,0.0,,
TXN-00048,ORD-00087,EXACT,100.0,0.0,,
TXN-00049,ORD-00046,EXACT,100.0,0.0,,
TXN-00050,ORD-00049,EXACT,100.0,0.0,,
TXN-00052,ORD-00411,EXACT,100.0,0.0,,
TXN-00053,ORD-00117,EXACT,100.0,0.0,,
TXN-00054,ORD-00080,EXACT,100.0,0.0,,
TXN-00055,ORD-00008,EXACT,100.0,0.0,,
TXN-00056,ORD-00363,EXACT,100.0,0.0,,
TXN-00057,ORD-00031,EXACT,100.0,0.0,,
TXN-00058,ORD-00273,EXACT,100.0,0.0,,
TXN-00060,ORD-00186,EXACT,100.0,0.0,,
TXN-00061,ORD-00074,EXACT,100.0,0.0,,
TXN-00062,ORD-00093,EXACT,100.0,0.0,,
TXN-00063,ORD-00004,EXACT,100.0,0.0,,
TXN-00064,ORD-00359,EXACT,100.0,0.0,,
TXN-00067,ORD-00164,EXACT,100.0,0.0,,
TXN-00068,ORD-00451,EXACT,100.0,0.0,,
TXN-00069,ORD-00342,EXACT,100.0,0.0,,
TXN-00071,ORD-00206,EXACT,100.0,0.0,,
TXN-00073,ORD-00277,EXACT,100.0,0.0,,
TXN-00074,ORD-00104,EXACT,100.0,0.0,,
TXN-00075,ORD-00275,EXACT,100.0,0.0,,
TXN-00078,ORD-00300,EXACT,100.0,0.0,,
TXN-00079,ORD-00085,EXACT,100.0,0.0,,
TXN-00080,ORD-00470,EXACT,100.0,0.0,,
TXN-00081,ORD-00386,EXACT,100.0,0.0,,
TXN-00085,ORD-00472,EXACT,100.0,0.0,,
TXN-00086,ORD-00222,EXACT,100.0,0.0,,
TXN-00088,ORD-00175,EXACT,100.0,0.0,,
TXN-00089,ORD-00380,EXACT,100.0,0.0,,
TXN-00092,ORD-00314,EXACT,100.0,0.0,,
TXN-00095,ORD-00272,EXACT,100.0,0.0,,
TXN-00096,ORD-00103,EXACT,100.0,0.0,,
TXN-00097,ORD-00035,EXACT,100.0,0.0,,
TXN-00098,ORD-00447,EXACT,100.0,0.0,,
TXN-00099,ORD-00131,EXACT,100.0,0.0,,
TXN-00100,ORD-00391,EXACT,100.0,0.0,,
TXN-00101,ORD-00365,EXACT,100.0,0.0,,
TXN-00104,ORD-00293,EXACT,100.0,0.0,,
TXN-00105,ORD-00154,EXACT,100.0,0.0,,
TXN-00106,ORD-00026,EXACT,100.0,0.0,,
TXN-00107,ORD-00039,EXACT,100.0,0.0,,
TXN-00109,ORD-00431,EXACT,100.0,0.0,,
TXN-00110,ORD-00259,EXACT,100.0,0.0,,
TXN-00111,ORD-00308,EXACT,100.0,0.0,,
TXN-00112,ORD-00059,EXACT,100.0,0.0,,
TXN-00114,ORD-00163,EXACT,100.0,0.0,,
TXN-00115,ORD-00034,EXACT,100.0,0.0,,
TXN-00116,ORD-00126,EXACT,100.0,0.0,,
TXN-00117,ORD-00216,EXACT,100.0,0.0,,
TXN-00118,ORD-00406,EXACT,100.0,0.0,,
TXN-00119,ORD-00234,EXACT,100.0,0.0,,
TXN-00120,ORD-00392,EXACT,100.0,0.0,,
TXN-00121,ORD-00347,EXACT,100.0,0.0,,
TXN-00123,ORD-00294,EXACT,100.0,0.0,,
TXN-00124,ORD-00465,EXACT,100.0,0.0,,
TXN-00126,ORD-00302,EXACT,100.0,0.0,,
TXN-00127,ORD-00329,EXACT,100.0,0.0,,
TXN-00128,ORD-00442,EXACT,100.0,0.0,,
TXN-00130,ORD-00060,EXACT,100.0,0.0,,
TXN-00131,ORD-00110,EXACT,100.0,0.0,,
