order_id,settlement_date,amount,reference_note,fee,status
ORD-00001,2026-08-14,289326.69,REF-TXN1089,0.0,Settled
ORD-00002,2026-08-23,24554.44,REF-TXN1452,0.0,Settled
ORD-00003,2026-08-11,17621.0,REF-TXN1138,0.0,Settled
ORD-00004,2026-08-13,83837.86,REF-TXN1314,0.0,Settled
ORD-00005,2026-08-01,257091.24,REF-TXN1292,0.0,Settled
ORD-00006,2026-08-14,7923.52,REF-TXN1197,0.0,Settled
ORD-00007,2026-08-26,122414.46,REF-TXN1108,0.0,Settled
ORD-00008,2026-08-13,270781.64,REF-TXN1127,0.0,Settled
ORD-00009,2026-08-20,73666.11,REF-TXN1491,1896.62,Settled
ORD-00010,2026-08-06,293492.28,REF-TXN1405,5592.89,Settled
ORD-00011,2026-08-07,204778.97,REF-TXN1190,0.0,Settled
ORD-00012,2026-08-18,26538.18,REF-TXN1005,0.0,Settled
ORD-00013,2026-08-24,49930.9,REF-TXN1304,0.0,Settled
ORD-00014,2026-08-08,246387.08,REF-TXN1346,2916.86,Settled
ORD-00015,2026-08-24,168629.76,REF-TXN1050,0.0,Settled
ORD-00016,2026-08-08,176737.81,REF-TXN1098,0.0,Settled
ORD-00017,2026-08-01,176698.46,REF-TXN1097,0.0,Settled
ORD-00018,2026-08-16,164307.01,REF-TXN1354,2468.27,Settled
ORD-00019,2026-08-05,44222.25,REF-TXN1376,962.43,Settled
ORD-00020,2026-08-06,21022.14,REF-TXN1142,0.0,Settled
ORD-00021,2026-08-12,124752.72,REF-TXN1359,3185.67,Settled
ORD-00022,2026-08-12,85853.72,REF-TXN1161,0.0,Settled
ORD-00023,2026-08-19,73497.41,REF-TXN1428,0.0,Settled
ORD-00024,2026-08-09,163570.13,REF-TXN1352,3389.28,Settled
ORD-00025,2026-08-04,242282.61,REF-TXN1374,4441.03,Settled
ORD-00026,2026-08-24,164066.63,REF-TXN1298,0.0,Settled
ORD-00027,2026-08-13,177771.89,REF-TXN1307,0.0,Settled
ORD-00028,2026-08-24,82871.28,REF-TXN1002,0.0,Settled
ORD-00029,2026-08-19,173075.39,REF-TXN1106,0.0,Settled
ORD-00030,2026-08-03,202726.16,REF-TXN1143,0.0,Settled
ORD-00031,2026-08-13,209313.92,REF-TXN1234,0.0,Settled
ORD-00032,2026-08-09,259373.71,REF-TXN1210,0.0,Settled
ORD-00033,2026-08-07,161117.58,REF-TXN1117,0.0,Settled
ORD-00034,2026-08-14,248889.75,REF-TXN1176,0.0,Settled
ORD-00035,2026-08-05,142331.54,REF-TXN1324,0.0,Settled
ORD-00036,2026-08-14,76055.32,REF-TXN1315,0.0,Settled
ORD-00037,2026-08-03,263841.44,REF-TXN1160,0.0,Settled
ORD-00038,2026-08-16,183576.55,REF-TXN1254,0.0,Settled
ORD-00039,2026-08-19,143298.16,REF-TXN1139,0.0,Settled
ORD-00040,2026-08-15,270412.22,REF-TXN1427,0.0,Settled
ORD-00041,2026-08-11,278740.99,REF-TXN1154,0.0,Settled
ORD-00042,2026-08-16,66216.78,REF-TXN1300,0.0,Settled
ORD-00043,2026-08-10,229435.04,REF-TXN1489,3399.38,Settled
ORD-00044,2026-08-22,122813.68,REF-TXN1233,0.0,Settled
ORD-00045,2026-08-03,173102.94,REF-TXN1334,4730.37,Settled
ORD-00046,2026-08-14,10018.91,REF-TXN1006,0.0,Settled
ORD-00047,2026-08-07,105147.17,REF-TXN1350,1622.91,Settled
ORD-00048,2026-08-03,200490.18,REF-TXN1389,5881.6,Settled
ORD-00049,2026-08-19,58733.35,REF-TXN1257,0.0,Settled
ORD-00050,2026-08-24,260875.56,REF-TXN1414,0.0,Settled
ORD-00051,2026-08-11,64181.65,REF-TXN1046,0.0,Settled
ORD-00052,2026-08-08,235493.52,REF-TXN1107,0.0,Settled
ORD-00053,2026-08-17,199324.22,REF-TXN1248,0.0,Settled
ORD-00054,2026-08-13,271499.12,REF-TXN1290,0.0,Settled
ORD-00055,2026-08-27,89917.48,REF-TXN1434,0.0,Settled
ORD-00056,2026-08-08,51952.75,REF-TXN1385,604.41,Settled
ORD-00057,2026-08-23,281028.05,REF-TXN1034,0.0,Settled
ORD-00058,2026-08-15,125024.38,REF-TXN1288,0.0,Settled
ORD-00059,2026-08-01,284908.71,REF-TXN1321,0.0,Settled
ORD-00060,2026-08-15,250206.61,REF-TXN1162,0.0,Settled
ORD-00061,2026-08-12,67654.54,REF-TXN1318,0.0,Settled
ORD-00062,2026-08-13,114794.98,REF-TXN1059,0.0,Settled
ORD-00063,2026-08-21,115199.77,REF-TXN1440,0.0,Settled
ORD-00064,2026-08-04,46275.98,REF-TXN1056,0.0,Settled
ORD-00065,2026-08-21,153067.0,REF-TXN1212,0.0,Settled
ORD-00066,2026-08-20,265692.8,REF-TXN1024,0.0,Settled
