bank_txn_id,gateway_order_id,match_type
TXN-00009,ORD-00298,EXACT
TXN-00361,ORD-00028,EXACT
TXN-00127,ORD-00329,EXACT
TXN-00062,ORD-00093,EXACT
TXN-00137,ORD-00012,EXACT
TXN-00049,ORD-00046,EXACT
TXN-00233,ORD-00142,EXACT
TXN-00467,ORD-00171,EXACT
TXN-00345,ORD-00305,EXACT
TXN-00098,ORD-00447,EXACT
TXN-00377,ORD-00283,EXACT
TXN-00165,ORD-00255,EXACT
TXN-00448,ORD-00233,EXACT
TXN-00352,ORD-00354,EXACT
TXN-00161,ORD-00343,EXACT
TXN-00322,ORD-00098,EXACT
TXN-00403,ORD-00086,EXACT
TXN-00213,ORD-00165,EXACT
TXN-00141,ORD-00258,EXACT
TXN-00430,ORD-00425,EXACT
TXN-00186,ORD-00207,EXACT
TXN-00193,ORD-00210,EXACT
TXN-00326,ORD-00408,EXACT
TXN-00431,ORD-00066,EXACT
TXN-00092,ORD-00314,EXACT
TXN-00376,ORD-00097,EXACT
TXN-00342,ORD-00375,EXACT
TXN-00254,ORD-00352,EXACT
TXN-00171,ORD-00099,EXACT
TXN-00249,ORD-00143,EXACT
TXN-00270,ORD-00137,EXACT
TXN-00389,ORD-00228,EXACT
TXN-00441,ORD-00310,EXACT
TXN-00310,ORD-00057,EXACT
TXN-00278,ORD-00289,EXACT
TXN-00370,ORD-00150,EXACT
TXN-00217,ORD-00170,EXACT
TXN-00314,ORD-00109,EXACT
TXN-00483,ORD-00108,EXACT
TXN-00191,ORD-00435,EXACT
TXN-00200,ORD-00328,EXACT
TXN-00313,ORD-00482,EXACT
TXN-00101,ORD-00365,EXACT
TXN-00276,ORD-00468,EXACT
TXN-00148,ORD-00114,EXACT
TXN-00035,ORD-00051,EXACT
TXN-00470,ORD-00358,EXACT
TXN-00275,ORD-00453,EXACT
TXN-00286,ORD-00238,EXACT
TXN-00426,ORD-00015,EXACT
TXN-00408,ORD-00341,EXACT
TXN-00109,ORD-00431,EXACT
TXN-00159,ORD-00370,EXACT
TXN-00260,ORD-00271,EXACT
TXN-00157,ORD-00133,EXACT
TXN-00452,ORD-00064,EXACT
TXN-00354,ORD-00319,EXACT
TXN-00245,ORD-00125,EXACT
TXN-00485,ORD-00062,EXACT
TXN-00433,ORD-00088,EXACT
TXN-00067,ORD-00164,EXACT
TXN-00054,ORD-00080,EXACT
TXN-00385,ORD-00315,EXACT
TXN-00464,ORD-00367,EXACT
TXN-00373,ORD-00242,EXACT
TXN-00155,ORD-00460,EXACT
TXN-00358,ORD-00471,EXACT
TXN-00351,ORD-00420,EXACT
TXN-00228,ORD-00269,EXACT
TXN-00423,ORD-00261,EXACT
TXN-00025,ORD-00437,EXACT
TXN-00432,ORD-00333,EXACT
TXN-00482,ORD-00479,EXACT
TXN-00002,ORD-00301,EXACT
TXN-00359,ORD-00338,EXACT
TXN-00363,ORD-00360,EXACT
TXN-00042,ORD-00484,EXACT
TXN-00158,ORD-00077,EXACT
TXN-00280,ORD-00417,EXACT
TXN-00411,ORD-00436,EXACT
TXN-00134,ORD-00250,EXACT
TXN-00096,ORD-00103,EXACT
TXN-00089,ORD-00380,EXACT
TXN-00196,ORD-00416,EXACT
TXN-00052,ORD-00411,EXACT
TXN-00010,ORD-00115,EXACT
TXN-00221,ORD-00220,EXACT
TXN-00201,ORD-00118,EXACT
TXN-00173,ORD-00001,EXACT
TXN-00355,ORD-00265,EXACT
TXN-00142,ORD-00184,EXACT
TXN-00045,ORD-00236,EXACT
TXN-00044,ORD-00444,EXACT
TXN-00007,ORD-00262,EXACT
TXN-00250,ORD-00226,EXACT
TXN-00104,ORD-00293,EXACT
TXN-00204,ORD-00017,EXACT
TXN-00386,ORD-00016,EXACT
TXN-00016,ORD-00439,EXACT
TXN-00100,ORD-00391,EXACT
TXN-00001,ORD-00092,EXACT
TXN-00163,ORD-00246,EXACT
TXN-00214,ORD-00379,EXACT
TXN-00132,ORD-00256,EXACT
TXN-00048,ORD-00087,EXACT
TXN-00371,ORD-00029,EXACT
TXN-00368,ORD-00052,EXACT
TXN-00203,ORD-00007,EXACT
TXN-00381,ORD-00208,EXACT
TXN-00243,ORD-00443,EXACT
TXN-00366,ORD-00325,EXACT
TXN-00400,ORD-00225,EXACT
TXN-00086,ORD-00222,EXACT
TXN-00443,ORD-00357,EXACT
TXN-00256,ORD-00344,EXACT
TXN-00480,ORD-00438,EXACT
TXN-00292,ORD-00033,EXACT
TXN-00136,ORD-00070,EXACT
TXN-00027,ORD-00076,EXACT
TXN-00450,ORD-00396,EXACT
TXN-00425,ORD-00348,EXACT
TXN-00348,ORD-00403,EXACT
TXN-00003,ORD-00394,EXACT
TXN-00126,ORD-00302,EXACT
TXN-00374,ORD-00071,EXACT
TXN-00099,ORD-00131,EXACT
TXN-00055,ORD-00008,EXACT
TXN-00150,ORD-00218,EXACT
TXN-00356,ORD-00376,EXACT
TXN-00073,ORD-00277,EXACT
TXN-00282,ORD-00075,EXACT
TXN-00175,ORD-00326,EXACT
TXN-00046,ORD-00213,EXACT
TXN-00061,ORD-00074,EXACT
TXN-00458,ORD-00069,EXACT
TXN-00466,ORD-00149,EXACT
TXN-00145,ORD-00095,EXACT
TXN-00029,ORD-00003,EXACT
TXN-00107,ORD-00039,EXACT
TXN-00056,ORD-00363,EXACT
TXN-00308,ORD-00089,EXACT
TXN-00387,ORD-00020,EXACT
TXN-00251,ORD-00030,EXACT
TXN-00404,ORD-00094,EXACT
